[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	train cost(potential)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)	valid. cost(potential)
[LOG]	116	6.38023	13.1022	0.9	0.1	0.5	0.021977076	0.022496138	1.8122488	0.11788641	1.809546	8.451184	1.8240393	0.118496105	1.8242097	21.867441
[LOG]	117	6.5007	9.13336	0.9	0.1	0.5	0.02196474	0.02238339	1.8119235	0.12084664	1.8100568	8.687608	1.8215363	0.12086992	1.8191699	13.931843
[LOG]	118	6.13073	6.04183	0.9	0.1	0.5	0.021987943	0.022321338	1.8125876	0.1239581	1.8106395	7.940828	1.8198988	0.12609564	1.8184764	7.7429976
[LOG]	119	6.78408	7.44485	0.9	0.1	0.5	0.021934457	0.022386773	1.8112527	0.121302254	1.8110647	9.255074	1.8216271	0.12598792	1.8215568	10.545323
[LOG]	120	6.57888	6.7586	0.9	0.1	0.5	0.021925282	0.02242262	1.810885	0.12107242	1.8111404	8.845924	1.8223053	0.11996511	1.8218827	9.182366
[LOG]	121	5.3743	3.68438	0.9	0.1	0.5	0.02195549	0.022456102	1.8116723	0.12505794	1.8143538	6.427488	1.82312	0.12422345	1.8227093	3.0245688
[LOG]	122	8.27315	5.54261	0.9	0.1	0.5	0.021938449	0.02229555	1.8112499	0.11982994	1.8140453	12.235718	1.8194922	0.12002267	1.8234491	6.7559156
[LOG]	123	7.69845	8.33439	0.9	0.1	0.5	0.021917872	0.022320338	1.8108789	0.12005468	1.8127222	11.0871	1.8198619	0.12464972	1.8231461	12.330652
[LOG]	124	5.71863	7.67266	0.9	0.1	0.5	0.021895777	0.022330472	1.8103741	0.119294204	1.8125359	7.130062	1.8199993	0.12356067	1.8239437	11.008903
[LOG]	125	6.37389	7.61647	0.9	0.1	0.5	0.021820841	0.022275105	1.8087043	0.11835968	1.8120315	8.445932	1.8188429	0.111658685	1.8232776	10.920629
[LOG]	126	6.11245	9.16239	0.9	0.1	0.5	0.021858979	0.022374006	1.8095832	0.12046966	1.8130978	7.9175086	1.8209115	0.12221248	1.8237039	13.989472
[LOG]	127	5.16465	5.18837	0.9	0.1	0.5	0.02182538	0.022350468	1.8087307	0.12063427	1.8127844	6.02359	1.8205663	0.1197184	1.8195256	6.047659
[LOG]	128	5.98398	7.71916	0.9	0.1	0.5	0.021790348	0.022235503	1.8077203	0.11769272	1.8112674	7.670079	1.817555	0.12388137	1.8181779	11.10825
[LOG]	129	5.17811	5.01605	0.9	0.1	0.5	0.02181489	0.022444671	1.808292	0.11905601	1.8125423	6.054722	1.8227568	0.119839795	1.8251842	5.6977186
[LOG]	130	7.41171	4.13635	0.9	0.1	0.5	0.021785002	0.022247331	1.8076501	0.118532754	1.8123738	10.524378	1.8181787	0.1231259	1.8227129	3.9422662
[LOG]	131	6.57612	5.24312	0.9	0.1	0.5	0.021793585	0.022038655	1.8076364	0.11954975	1.8139577	8.851243	1.8125049	0.119059674	1.821644	6.174842
[LOG]	132	6.11296	8.5103	0.9	0.1	0.5	0.021785803	0.022189679	1.8074636	0.12161417	1.8169671	7.921123	1.8165959	0.12403508	1.8287094	12.690843
[LOG]	133	5.78993	4.61944	0.9	0.1	0.5	0.021792913	0.022207022	1.8077713	0.122427635	1.8149006	7.273586	1.8172656	0.1226381	1.8235519	4.9114966
[LOG]	134	6.225	5.15781	0.9	0.1	0.5	0.021745965	0.022176046	1.8065746	0.12283329	1.8117163	8.146241	1.816418	0.11915504	1.8236034	5.99642
[LOG]	135	6.59196	5.18339	0.9	0.1	0.5	0.021747343	0.022154901	1.8064704	0.12279528	1.815051	8.8799515	1.8155817	0.121650465	1.8224863	6.0451655
[LOG]	136	5.40524	9.00388	0.9	0.1	0.5	0.021685285	0.022086391	1.8051591	0.12278172	1.8143103	6.5094543	1.8141774	0.121629514	1.8236542	13.688892
[LOG]	137	6.04726	8.93723	0.9	0.1	0.5	0.021668376	0.02202757	1.8045967	0.12425759	1.8161426	7.791716	1.8121549	0.12366455	1.8231926	13.556192
[LOG]	138	5.64501	4.7491	0.9	0.1	0.5	0.021648532	0.02195525	1.8043305	0.124093205	1.8158543	6.988286	1.810725	0.1243828	1.8242557	5.1814666
[LOG]	139	7.23108	5.32856	0.9	0.1	0.5	0.021636182	0.022092724	1.8037399	0.12246279	1.8150191	10.164908	1.8143388	0.123796225	1.8229982	6.3346906
[LOG]	140	6.49495	3.55441	0.9	0.1	0.5	0.021590644	0.022110105	1.8027318	0.12375722	1.8129064	8.692942	1.8149587	0.1252548	1.82406	2.7824717
[LOG]	141	7.73256	3.17997	0.9	0.1	0.5	0.02163751	0.022104269	1.803838	0.12457762	1.8176502	11.163685	1.8143903	0.12534665	1.8291076	2.0337167
[LOG]	142	5.75589	6.52514	0.9	0.1	0.5	0.021544809	0.02201321	1.8016163	0.12523788	1.8147881	7.214373	1.8122531	0.12565024	1.8230265	8.729207
[LOG]	143	6.58511	13.5618	0.9	0.1	0.5	0.0216398	0.021897411	1.8037235	0.12507111	1.8161981	8.868758	1.8093972	0.12600753	1.8258498	22.807188
[LOG]	144	6.22716	4.05537	0.9	0.1	0.5	0.021528812	0.021831123	1.8010535	0.12351695	1.8173995	8.160912	1.8075418	0.12846209	1.8281207	3.7932978
[LOG]	145	5.88915	4.28449	0.9	0.1	0.5	0.021492459	0.021899393	1.8001068	0.1262155	1.8204792	7.481459	1.8092076	0.12594412	1.8295745	4.2526183
[LOG]	146	4.68121	8.20968	0.9	0.1	0.5	0.021419177	0.02201397	1.798298	0.1251494	1.8169584	5.0719995	1.8120586	0.13030694	1.8302823	12.08946
[LOG]	147	5.89023	6.77304	0.9	0.1	0.5	0.021375928	0.021861281	1.7970822	0.1267041	1.8160061	7.4899416	1.8080136	0.124404304	1.8267145	9.2357025
[LOG]	148	5.74162	3.61011	0.9	0.1	0.5	0.02137563	0.021738805	1.7973517	0.12985122	1.8218418	7.18542	1.8051268	0.12964891	1.8242987	2.9067218
[LOG]	149	5.325	3.67103	0.9	0.1	0.5	0.021384202	0.021832654	1.797358	0.12854803	1.8190925	6.3551283	1.8074149	0.12605856	1.8281137	3.0297387
[LOG]	150	5.02957	4.28815	0.9	0.1	0.5	0.021355782	0.021642292	1.7962279	0.13119796	1.8229959	5.7610607	1.8024755	0.12667093	1.8318541	4.272107
